FL_DATE,sum(DEP_DELAY),sum(CARRIER_DELAY),sum(WEATHER_DELAY),sum(NAS_DELAY),sum(SECURITY_DELAY),sum(LATE_AIRCRAFT_DELAY)
2017-05-17,344032.0,113404.0,15512.0,137714.0,158.0,144248.0
2017-05-23,311888.0,115234.0,3924.0,101100.0,246.0,133086.0
2017-04-07,962864.0,343884.0,91226.0,105672.0,426.0,400366.0
2015-03-10,182418.0,86504.0,13874.0,46608.0,684.0,90954.0
2015-06-03,175496.0,81136.0,6774.0,52252.0,160.0,84948.0
2016-05-19,282024.0,103880.0,13512.0,76542.0,586.0,139834.0
2017-06-03,244342.0,118696.0,4834.0,56682.0,182.0,103212.0
2017-03-26,253380.0,105904.0,6790.0,98816.0,0.0,118528.0
2017-10-24,369058.0,119626.0,9664.0,165050.0,988.0,151934.0
2016-05-06,358444.0,95530.0,11756.0,122302.0,336.0,159718.0
2017-06-23,539326.0,170068.0,12266.0,158282.0,586.0,247192.0
2017-10-22,257286.0,107488.0,10384.0,60154.0,262.0,136356.0
2017-03-07,225574.0,83872.0,11068.0,90096.0,102.0,118476.0
2017-10-27,206224.0,100612.0,7048.0,49332.0,160.0,114602.0
2016-06-10,297930.0,120482.0,6532.0,61292.0,8404.0,157942.0
2017-05-10,206074.0,85352.0,13390.0,79114.0,448.0,108086.0
2015-06-05,325226.0,129730.0,9166.0,54780.0,344.0,154626.0
2016-06-07,237430.0,99690.0,7110.0,72808.0,182.0,114068.0
2017-05-31,233080.0,97396.0,10186.0,81756.0,114.0,111958.0
2016-05-14,170664.0,83972.0,11156.0,35364.0,338.0,70188.0
2017-05-08,237994.0,121448.0,7584.0,77780.0,204.0,105788.0
2017-04-09,417176.0,203298.0,13256.0,47610.0,234.0,168672.0
2015-06-01,577268.0,166408.0,29118.0,200048.0,372.0,230326.0
2016-06-28,700904.0,188884.0,61200.0,216822.0,266.0,312444.0
2015-03-31,114346.0,76940.0,2086.0,32436.0,656.0,59892.0
2016-05-25,280954.0,99446.0,37100.0,94880.0,92.0,112412.0
2016-05-26,533192.0,153202.0,51080.0,150656.0,296.0,277362.0
2017-10-18,118292.0,63952.0,1492.0,40698.0,226.0,84874.0
2016-06-01,256298.0,115016.0,19310.0,69878.0,254.0,104940.0
2016-05-13,203114.0,75204.0,3392.0,54676.0,430.0,100110.0
2015-03-13,222032.0,92390.0,2272.0,57690.0,296.0,115624.0
2016-06-27,344428.0,145668.0,25184.0,77572.0,466.0,160764.0
2017-06-28,350046.0,137588.0,13816.0,89174.0,160.0,156464.0
2017-06-12,339048.0,136254.0,5596.0,75464.0,462.0,159064.0
2017-03-05,230620.0,90430.0,18182.0,82200.0,550.0,118066.0
2017-06-30,568912.0,171910.0,23428.0,188788.0,3198.0,261054.0
2017-04-10,377584.0,128882.0,14778.0,142226.0,392.0,182742.0
2016-05-24,180350.0,68214.0,5302.0,74760.0,958.0,89500.0
2017-06-26,209502.0,106540.0,4186.0,42774.0,308.0,96276.0
2017-03-04,87264.0,61904.0,7236.0,26088.0,392.0,46692.0
2017-04-25,306924.0,96426.0,6672.0,164584.0,296.0,124610.0
